Source,Target,Weight
attempted murder,food,5
attempted murder,foot chase,37
attempted murder,forest,34
attempted murder,france,10
attempted murder,friend,18
attempted murder,friendship,29
attempted murder,funeral,21
attempted murder,girl,13
attempted murder,gore,31
attempted murder,gun,51
attempted murder,hallucination,24
attempted murder,held at gunpoint,67
attempted murder,helicopter,35
attempted murder,horse,15
attempted murder,hospital,34
attempted murder,hostage,55
attempted murder,hotel,35
attempted murder,husband wife relationship,41
attempted murder,independent film,55
attempted murder,infidelity,14
attempted murder,investigation,33
attempted murder,jealousy,14
attempted murder,kidnapping,59
attempted murder,kiss,35
attempted murder,knife,71
attempted murder,knocked unconscious,48
attempted murder,letter,10
attempted murder,lie,12
attempted murder,london england,26
attempted murder,looking at oneself in a mirror,21
attempted murder,love,20
attempted murder,machine gun,58
attempted murder,male female relationship,11
attempted murder,male frontal nudity,5
attempted murder,male nudity,20
attempted murder,male protagonist,12
attempted murder,male pubic hair,10
attempted murder,male rear nudity,13
attempted murder,man wears eyeglasses,22
attempted murder,marriage,6
attempted murder,memory,6
attempted murder,mirror,10
attempted murder,money,23
attempted murder,montage,35
attempted murder,mother daughter relationship,22
attempted murder,mother son relationship,26
attempted murder,motorcycle,21
attempted murder,murder,107
attempted murder,nightclub,17
attempted murder,nightmare,15
attempted murder,no opening credits,39
attempted murder,nudity,18
attempted murder,nurse,13
attempted murder,old man,14
attempted murder,one word title,33
attempted murder,paranoia,50
attempted murder,paris france,14
attempted murder,party,18
attempted murder,photograph,46
attempted murder,photographer,12
attempted murder,pistol,65
attempted murder,police,44
attempted murder,police officer,39
attempted murder,pregnancy,7
attempted murder,priest,13
attempted murder,prison,18
attempted murder,prologue,27
attempted murder,prostitute,18
attempted murder,psychopath,27
attempted murder,psychotronic film,45
attempted murder,pubic hair,14
attempted murder,punched in the face,56
attempted murder,race against time,53
attempted murder,rain,16
attempted murder,rape,14
attempted murder,rescue,68
attempted murder,restaurant,24
attempted murder,revenge,66
attempted murder,rifle,32
attempted murder,secret,13
attempted murder,sequel,16
attempted murder,sex,11
attempted murder,sex scene,18
