num_movies,avg_rating,rating_std,rating_trend,last_rating,year_gap,franchise_age,rating_range,recent_trend,avg_budget,avg_revenue,profitability,target
6,6.25,0.4425306015783918,-0.2028571428571417,6.0,1.0,5.0,1.2999999999999998,0.0,7833333.333333333,123692895.33333333,115859562.0,5.8
1,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,45000000.0,131183530.0,86183530.0,6.3
2,6.4,0.10000000000000009,-0.20000000000000018,6.3,4.0,4.0,0.20000000000000018,-0.20000000000000018,49500000.0,143096781.0,93596781.0,5.7
1,6.8,0.0,0.0,6.8,0.0,0.0,0.0,0.0,75000000.0,296339527.0,221339527.0,6.8
2,6.8,0.0,-8.881784197001252e-16,6.8,3.0,3.0,0.0,0.0,92500000.0,352025538.0,259525538.0,6.3
3,6.633333333333333,0.23570226039551584,-0.2500000000000012,6.3,3.0,6.0,0.5,-0.5,131666666.66666667,387803543.6666667,256136877.0,7.1
4,6.75,0.28722813232690136,0.03999999999999885,7.1,5.0,11.0,0.7999999999999998,0.7999999999999998,138750000.0,379258688.75,240508688.75,7.5
5,6.9,0.39496835316263007,0.16999999999999962,7.5,3.0,14.0,1.2000000000000002,0.40000000000000036,161000000.0,452979506.0,291979506.0,6.4
1,6.7,0.0,0.0,6.7,0.0,0.0,0.0,0.0,5000000.0,41833347.0,36833347.0,6.8
2,6.75,0.04999999999999982,0.09999999999999876,6.8,1.0,1.0,0.09999999999999964,0.09999999999999964,5500000.0,37833274.0,32333274.0,3.6
3,5.7,1.4854853303438127,-1.5499999999999998,3.6,7.0,8.0,3.1999999999999997,-3.1999999999999997,7333333.333333333,26719511.333333332,19386178.0,3.8
1,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,15000000.0,120207127.0,105207127.0,6.7
2,6.85,0.1499999999999999,-0.3000000000000007,6.7,2.0,2.0,0.2999999999999998,-0.2999999999999998,20000000.0,174030556.5,154030556.5,6.4
3,6.7,0.2449489742783177,-0.2999999999999999,6.4,3.0,5.0,0.5999999999999996,-0.2999999999999998,25000000.0,223264213.33333334,198264213.33333334,6.3
1,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,16500000.0,67683989.0,51183989.0,6.1
2,6.3,0.20000000000000018,-0.40000000000000124,6.1,2.0,2.0,0.40000000000000036,-0.40000000000000036,24750000.0,189312037.5,164562037.5,5.9
1,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,125000000.0,976475550.0,851475550.0,7.4
2,7.45,0.04999999999999982,-0.10000000000000053,7.4,1.0,1.0,0.09999999999999964,-0.09999999999999964,112500000.0,926582016.0,814082016.0,7.7
3,7.533333333333334,0.12472191289246468,0.1000000000000017,7.7,2.0,3.0,0.2999999999999998,0.2999999999999998,118333333.33333333,880989528.6666666,762656195.3333333,7.5
4,7.525,0.1089724735885168,0.0299999999999986,7.5,1.0,4.0,0.2999999999999998,-0.20000000000000018,126250000.0,884722405.5,758472405.5,7.4
5,7.5,0.10954451150103316,-0.010000000000000484,7.4,2.0,6.0,0.2999999999999998,-0.09999999999999964,131000000.0,895420472.0,764420472.0,7.4
6,7.483333333333333,0.1067187372905474,-0.019999999999999483,7.4,2.0,8.0,0.2999999999999998,0.0,150833333.33333334,901843592.8333334,751010259.5,7.5
7,7.485714285714286,0.09897433186107862,-0.010714285714285905,7.5,1.0,9.0,0.2999999999999998,0.09999999999999964,165000000.0,909338203.5714285,744338203.5714285,7.9
1,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,28000000.0,140767956.0,112767956.0,6.6
2,7.05,0.4500000000000002,-0.900000000000003,6.6,2.0,2.0,0.9000000000000004,-0.9000000000000004,49000000.0,190399525.0,141399525.0,6.9
3,7.0,0.3741657386773942,-0.3000000000000007,6.9,5.0,7.0,0.9000000000000004,0.3000000000000007,62666666.666666664,248966905.33333334,186300238.6666667,6.4
4,6.85,0.4153311931459037,-0.3000000000000012,6.4,12.0,19.0,1.0999999999999996,-0.5,74500000.0,282608045.0,208108045.0,5.2
1,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1000000.0,117235147.0,116235147.0,6.9
2,7.2,0.2999999999999998,-0.6000000000000005,6.9,3.0,3.0,0.5999999999999996,-0.5999999999999996,4000000.0,158708653.5,154708653.5,6.6
3,7.0,0.3741657386773943,-0.45000000000000023,6.6,3.0,6.0,0.9000000000000004,-0.3000000000000007,8333333.333333333,195805769.0,187472435.66666666,6.6
4,6.9,0.3674234614174769,-0.30000000000000165,6.6,3.0,9.0,0.9000000000000004,0.0,14000000.0,221972755.75,207972755.75,5.3
5,6.58,0.719444229944198,-0.4699999999999997,5.3,5.0,14.0,2.2,-1.2999999999999998,19600000.0,201567476.2,181967476.2,6.5
6,6.566666666666666,0.6574360974438673,-0.27999999999999925,6.5,16.0,30.0,2.2,1.2000000000000002,20333333.333333332,193926418.83333334,173593085.5,7.3
1,6.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,13500000.0,202000000.0,188500000.0,5.8
2,6.15,0.3500000000000001,-0.7000000000000011,5.8,1.0,1.0,0.7000000000000002,-0.7000000000000002,19250000.0,140000000.0,120750000.0,5.1
1,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,5800000.0,33395426.0,27595426.0,6.2
2,6.85,0.6499999999999999,-1.3000000000000016,6.2,2.0,2.0,1.2999999999999998,-1.2999999999999998,4400000.0,26197572.0,21797572.0,6.3
3,6.666666666666667,0.590668171555645,-0.6000000000000002,6.3,1.0,3.0,1.2999999999999998,0.09999999999999964,3766666.6666666665,21581349.666666668,17814683.0,6.1
4,6.525,0.5673402858955109,-0.41000000000000175,6.1,1.0,4.0,1.4000000000000004,-0.20000000000000018,3250000.0,18611012.25,15361012.25,5.5
1,6.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,80000000.0,415885488.0,335885488.0,6.0
